ID,Posting,Salary,Field,City
1,"Data Scientist, Game",All,Position,Toronto
1,Prodigy Game 4.9 ,All,Company,Toronto
1,"Toronto, ON",All,Location,Toronto
1,Temporarily remote,All,Remote,Toronto
1,At least 2 years of data analytics experience.,All,Description1,Toronto
1,Ability to translate data insights into actionable steps.,All,Description2,Toronto
1,Experience in cloud ecosystems and their data tooling …,All,Description3,Toronto
1,30,All,Days ago,Toronto
2,Machine Learning Engineer,All,Position,Toronto
2,Dean Group 3.1 ,All,Company,Toronto
2,"Toronto, ON",All,Location,Toronto
2,Easily apply to this job,All,Easily apply,Toronto
2,Perform ETL with massive data from multiple applications and 300 M+ customers.,All,Description1,Toronto
2,Knowledge in advanced data structures and can use them to solve problems.,All,Description2,Toronto
2,18,All,Days ago,Toronto
3,Data Scientist,All,Position,Toronto
3,Robert Half 3.9 ,All,Company,Toronto
3,"Toronto, ON",All,Location,Toronto
3,"$95,000 - $105,000 a year",All,Salary_shown,Toronto
3,Easily apply to this job,All,Easily apply,Toronto
3,Ensure all processes preserve data integrity by managing the alignment of data availability and integration processes.,All,Description1,Toronto
3,30,All,Days ago,Toronto
4,"Senior Data Scientist, Enterprisenew",All,Position,Toronto
4,Coursera 4.3 ,All,Company,Toronto
4,"Toronto, ON - Remote",All,Location,Toronto
4,Strong applied statistics and data visualization skills.,All,Description1,Toronto
4,Experience working with Salesforce and/or Marketo data.,All,Description2,Toronto
4,Check out life at Coursera on The Muse!,All,Description3,Toronto
4,3,All,Days ago,Toronto
5,Data Scientist,All,Position,Toronto
5,Beauty Matching Engine,All,Company,Toronto
5,"Toronto, ON - Remote",All,Location,Toronto
5,"$64,136 - $140,055 a year",All,Salary_shown,Toronto
5,Easily apply to this job,All,Easily apply,Toronto
5,This is a 3-6 month full-time data scientist contract position with potential to become permanent position based on the performance.,All,Description1,Toronto
5,30,All,Days ago,Toronto
6,Senior Data Scientistnew,All,Position,Toronto
6,Accenture 4.0 ,All,Company,Toronto
6,"Toronto, ON",All,Location,Toronto
6,"A blend of data science capability, industry and consulting expertise.",All,Description1,Toronto
6,And you are all about helping clients scale data into value.,All,Description2,Toronto
6,1,All,Days ago,Toronto
7,Data Scientistnew,All,Position,Toronto
7,Loblaw Digital 2.0 ,All,Company,Toronto
7,"Toronto, ON",All,Location,Toronto
7,You enjoy the data-centric parts of solving problems.,All,Description1,Toronto
7,"We aim to build production-ready solutions, and while we don’t expect data scientists to be systems…",All,Description2,Toronto
7,4,All,Days ago,Toronto
8,Data Analystnew,All,Position,Toronto
8,University Health Network 4.2 ,All,Company,Toronto
8,"Toronto, ON",All,Location,Toronto
8,"$60,934 - $76,000 a year",All,Salary_shown,Toronto
8,Conduct data quality investigations and engage in continuous data quality improvements;,All,Description1,Toronto
8,Strong data visualization and presentation skills;,All,Description2,Toronto
8,4,All,Days ago,Toronto
