ID,Salary,Company,Days ago,Description1,Description2,Description3,Location,Position,Remote,Salary_shown,City
24,All,SalesGrowth Development Inc.,23,"Experience in data processing automation, curation and cleansing.",Discovering and preparing data to be leveraged in our solutions.,,"Concord, ON",Data Scientist,,"$30,000 a year",Toronto
28,All,Coursera 4.3 ,10,Develop metrics that evaluate performance of data products.,"Distill insights from complex data, communicating findings to technical and non-technical audiences.",,"Toronto, ON","Data Scientist Intern, Machine Learning (Fall 2020) - Toront...",,,Toronto
48,All,TD Bank 3.8 ,30,Analytical thought leadership and stay current on developments in data mining and the application of data science.,Scope of role may have enterprise impact.,,"Toronto, ON",Data Scientist II,,,Toronto
64,All,Colliers International 3.8 ,30,Understanding of the data model and relational databases.,Proven knowledge of data visualization best practices and ability create stunning dashboards.,,"Toronto, ON",BI Visualization Analyst,,,Toronto
66,All,TD Bank 3.8 ,11,"Our solutions include data pipelines, feature data lake, systemic data validation and automation of key activities in model delivery including model validation,",,,"Toronto, ON",Machine Learning Product Engineer (Layer 6),,,Toronto
70,All,Investment Industry Reg Org of Canada,30,Perform in-depth analysis on transactions and market data to generate reports for business users.,Must have experience coding in programming language such as,,"Toronto, ON","Senior Data Analyst, Investigations",,,Toronto
77,All,TD Bank 3.8 ,11,Knowledge of how campaigns are created by leveraging customer data from internal data warehouses through the use of programming tools such as SAS and SQL.,,,"Toronto, ON","Manager, Campaign Analytics & Insights",,,Toronto
80,All,"AMZN CAN Fulfillment Svcs, ULC 3.6 ",17,The Sponsored Display Advertising team has an opening for an outstanding ML scientist who is passionate about applying advanced ML and statistical techniques to,,,"Toronto, ON",Applied Scientist,,,Toronto
85,All,Element AI 4.3 ,21,"The ideal candidate would have experience or familiarity with topics such as time series modelling and analysis, data cleaning, imputation, feature engineering,",,,"Toronto, ON","Chercheuse/Chercheur scientifique, recherche appliquée - Sér...",,,Toronto
87,All,TD Bank 3.8 ,11,"Our solutions include data pipelines, feature data lake, systemic data validation and automation of key activities in model delivery including model validation,",,,"Toronto, ON",Sr Machine Learning Product Engineer (Layer 6),,,Toronto
111,All,Canadian Institute for Health Information 4.1 ,11,"Two (2) years of related experience with developing and maintaining, or performing data analysis on BI system solutions.",HOOPP Pension Plan (Defined Pension).,,"Toronto, ON",Junior/Intermediate Business Intelligence Developer,,,Toronto
133,All,"AMZN CAN Fulfillment Svcs, ULC 3.6 ",30,"5+ years of people management experience, managing scientists, engineers and managers.",Dive deep into performance and operational data and work closely with,,"Toronto, ON","Sr, Manager, Machine Learning",,,Toronto
135,All,"AMZN CAN Fulfillment Svcs, ULC 3.6 ",30,Mentor junior engineers and scientists.,Routinely build and deploy ML models on available data.,"Participate in the design, development, evaluation, deployment","Toronto, ON","Senior Applied Scientist, Alexa AI",,,Toronto
156,All,"AMZN CAN Fulfillment Svcs, ULC 3.6 ",30,Routinely build and deploy ML models on available data.,You will leverage Amazons heterogeneous data sources and large-scale computing resources to accelerate,,"Toronto, ON","Sr. Applied Scientist, Alexa Speech",,,Toronto
157,60K,Prodigy Game 4.9 ,30,At least 2 years of data analytics experience.,Ability to translate data insights into actionable steps.,Experience in cloud ecosystems and their data tooling ,"Toronto, ON","Data Scientist, Game",Temporarily remote,,Toronto
161,60K,University Health Network 4.2 ,4,Conduct data quality investigations and engage in continuous data quality improvements;,Strong data visualization and presentation skills;,,"Toronto, ON",Data Analystnew,,"$60,934 - $76,000 a year",Toronto
